epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3609.82,1.16548,0.67688,0.00359,0.79852,0.70516,0.74575,0.54302,0.98041,0.77204,0.00472,0.0007294,0.0007294,0.0007294
43,3698.88,1.15922,0.6727,0.00359,0.80501,0.70572,0.74104,0.53689,0.97904,0.74685,0.00456,0.0007228,0.0007228,0.0007228
44,3787.93,1.14944,0.66792,0.00361,0.7691,0.72719,0.73479,0.53012,0.97726,0.73609,0.00438,0.0007162,0.0007162,0.0007162
45,3877.82,1.15683,0.67082,0.00362,0.79989,0.69036,0.73299,0.53359,0.97764,0.75466,0.00476,0.0007096,0.0007096,0.0007096
46,3967.36,1.14311,0.66386,0.00355,0.77614,0.71448,0.73338,0.53265,0.9784,0.7745,0.0047,0.000703,0.000703,0.000703
47,4056.45,1.15392,0.66837,0.00357,0.79579,0.70712,0.73463,0.53793,0.96985,0.76184,0.00451,0.0006964,0.0006964,0.0006964
48,4145.85,1.14212,0.6603,0.00354,0.83466,0.68911,0.74135,0.54622,0.95341,0.7638,0.00436,0.0006898,0.0006898,0.0006898
49,4236.84,1.13452,0.66097,0.00352,0.85025,0.67875,0.74262,0.54152,0.96922,0.72917,0.00454,0.0006832,0.0006832,0.0006832
50,4326.49,1.13956,0.65706,0.00351,0.7714,0.70099,0.73646,0.53596,0.97071,0.75789,0.0046,0.0006766,0.0006766,0.0006766
51,4414.16,1.12912,0.65603,0.00345,0.82945,0.70011,0.73812,0.53797,0.9558,0.7253,0.00419,0.00067,0.00067,0.00067
52,4502.13,1.13445,0.6478,0.00347,0.79458,0.71507,0.74506,0.54676,0.96402,0.7336,0.00458,0.0006634,0.0006634,0.0006634
53,4588.51,1.13586,0.65101,0.00348,0.81195,0.70649,0.73521,0.54068,0.95318,0.71683,0.00418,0.0006568,0.0006568,0.0006568
54,4676.81,1.13304,0.64607,0.00346,0.77803,0.71325,0.72913,0.53673,0.95173,0.69727,0.00428,0.0006502,0.0006502,0.0006502
55,4764.1,1.1249,0.64854,0.00339,0.78686,0.69869,0.73102,0.53179,0.96139,0.70327,0.00428,0.0006436,0.0006436,0.0006436
56,4851.01,1.12158,0.64401,0.00337,0.82102,0.70629,0.74797,0.54756,0.94809,0.69719,0.00413,0.000637,0.000637,0.000637
57,4940.1,1.1194,0.64264,0.00338,0.8048,0.7126,0.74132,0.54409,0.94432,0.75339,0.00439,0.0006304,0.0006304,0.0006304
58,5028.29,1.11009,0.63621,0.00336,0.80059,0.70752,0.73335,0.54374,0.94628,0.75525,0.00441,0.0006238,0.0006238,0.0006238
59,5116.54,1.12104,0.63617,0.00339,0.7712,0.73292,0.72632,0.53511,0.93706,0.75356,0.00418,0.0006172,0.0006172,0.0006172
60,5203.9,1.10922,0.62656,0.00334,0.80517,0.71073,0.7357,0.54104,0.94375,0.74399,0.00428,0.0006106,0.0006106,0.0006106
61,5291.08,1.10884,0.63049,0.00334,0.79245,0.72974,0.73811,0.54121,0.93846,0.72977,0.00424,0.000604,0.000604,0.000604
62,5378.69,1.10369,0.62885,0.00336,0.79854,0.72066,0.73734,0.54518,0.93904,0.70169,0.00418,0.0005974,0.0005974,0.0005974
63,5465.07,1.10546,0.62813,0.00337,0.78583,0.71507,0.74373,0.55169,0.93029,0.73457,0.00436,0.0005908,0.0005908,0.0005908
64,5555.19,1.11193,0.62508,0.0033,0.7967,0.71673,0.74134,0.54785,0.93518,0.72464,0.00409,0.0005842,0.0005842,0.0005842
65,5643.96,1.10277,0.62057,0.00325,0.79214,0.71003,0.73606,0.5478,0.93753,0.75392,0.00427,0.0005776,0.0005776,0.0005776
66,5732.28,1.09787,0.62379,0.00328,0.77381,0.71917,0.73895,0.54635,0.93238,0.74481,0.00427,0.000571,0.000571,0.000571
67,5821.75,1.09827,0.62013,0.0033,0.79054,0.70855,0.74092,0.54932,0.93126,0.70639,0.00419,0.0005644,0.0005644,0.0005644
68,5916.45,1.09371,0.6117,0.00326,0.79614,0.70728,0.74064,0.55146,0.94202,0.72922,0.00432,0.0005578,0.0005578,0.0005578
69,6011.61,1.10016,0.62239,0.00324,0.80886,0.69651,0.74612,0.55289,0.93645,0.70463,0.00413,0.0005512,0.0005512,0.0005512
70,6104.13,1.08676,0.61672,0.00332,0.79753,0.70428,0.73487,0.541,0.92861,0.73443,0.00419,0.0005446,0.0005446,0.0005446
71,6201.12,1.0874,0.61458,0.00326,0.83363,0.69121,0.74273,0.55224,0.93026,0.66963,0.00406,0.000538,0.000538,0.000538
72,6296.95,1.09965,0.62136,0.00324,0.76901,0.72187,0.73534,0.54555,0.93327,0.67067,0.00408,0.0005314,0.0005314,0.0005314
73,6389.95,1.08339,0.60881,0.00323,0.80961,0.72173,0.73964,0.55074,0.91939,0.73258,0.00414,0.0005248,0.0005248,0.0005248
74,6482.94,1.08907,0.61865,0.0032,0.81606,0.71182,0.74365,0.55337,0.92222,0.68112,0.00403,0.0005182,0.0005182,0.0005182
75,6576.61,1.09473,0.61917,0.00318,0.80932,0.70168,0.74123,0.55676,0.92139,0.70433,0.00418,0.0005116,0.0005116,0.0005116
76,6669.76,1.07811,0.61,0.00323,0.79855,0.71126,0.74295,0.55677,0.92329,0.71823,0.00414,0.000505,0.000505,0.000505
77,6763.25,1.08528,0.61347,0.00321,0.78483,0.72353,0.74126,0.55392,0.92744,0.71703,0.00432,0.0004984,0.0004984,0.0004984
78,6855.87,1.08917,0.61489,0.00319,0.7977,0.71071,0.74413,0.55733,0.92316,0.72368,0.00431,0.0004918,0.0004918,0.0004918
79,6949.25,1.07939,0.60506,0.0032,0.81487,0.71473,0.74591,0.55444,0.92501,0.73214,0.00429,0.0004852,0.0004852,0.0004852
80,7042.4,1.08062,0.60493,0.00317,0.80247,0.71399,0.73733,0.54952,0.91973,0.70983,0.00433,0.0004786,0.0004786,0.0004786
81,7137.21,1.08279,0.6063,0.00315,0.79563,0.7205,0.73566,0.55031,0.91852,0.67296,0.00407,0.000472,0.000472,0.000472
82,7229.28,1.07406,0.60249,0.00313,0.79847,0.71731,0.74773,0.55801,0.91903,0.6815,0.00412,0.0004654,0.0004654,0.0004654
83,7321.67,1.07215,0.59908,0.00314,0.7954,0.71509,0.73971,0.55219,0.92049,0.70873,0.00415,0.0004588,0.0004588,0.0004588
84,7414.54,1.07473,0.60007,0.00311,0.82634,0.71594,0.74797,0.55713,0.92588,0.67262,0.00408,0.0004522,0.0004522,0.0004522
85,7508.92,1.07212,0.59427,0.00308,0.83126,0.71233,0.74912,0.56446,0.91417,0.65707,0.00401,0.0004456,0.0004456,0.0004456
86,7602.45,1.0744,0.59684,0.00309,0.80978,0.71423,0.7502,0.56282,0.92251,0.6591,0.00425,0.000439,0.000439,0.000439
87,7695.11,1.0712,0.59768,0.00311,0.82234,0.71037,0.74231,0.55879,0.91307,0.6985,0.00409,0.0004324,0.0004324,0.0004324
88,7786.93,1.07231,0.59416,0.00309,0.79974,0.71729,0.74129,0.5582,0.91751,0.69815,0.0042,0.0004258,0.0004258,0.0004258
89,7878.75,1.0631,0.58707,0.00312,0.7861,0.71662,0.73628,0.55102,0.91738,0.70052,0.00419,0.0004192,0.0004192,0.0004192
90,7971.5,1.06269,0.59263,0.00309,0.81095,0.70689,0.7443,0.55706,0.9223,0.71646,0.00438,0.0004126,0.0004126,0.0004126
91,8063.44,1.07035,0.59498,0.00308,0.78434,0.72838,0.73721,0.55128,0.91992,0.70466,0.0042,0.000406,0.000406,0.000406
92,8156.09,1.05738,0.58879,0.00301,0.79362,0.71894,0.74413,0.55815,0.91999,0.71637,0.0043,0.0003994,0.0003994,0.0003994
93,8248.79,1.06315,0.58776,0.00303,0.80011,0.71873,0.74408,0.55759,0.91798,0.691,0.00425,0.0003928,0.0003928,0.0003928
94,8341.25,1.06389,0.58582,0.00302,0.79675,0.72763,0.75136,0.56306,0.91291,0.72439,0.00411,0.0003862,0.0003862,0.0003862
95,8433.42,1.05332,0.58211,0.00304,0.80827,0.7125,0.75074,0.56472,0.91195,0.72729,0.00415,0.0003796,0.0003796,0.0003796
96,8525.38,1.05616,0.58796,0.00304,0.8024,0.72487,0.74982,0.56488,0.90993,0.714,0.00417,0.000373,0.000373,0.000373
97,8619.08,1.04734,0.57975,0.00294,0.79996,0.72504,0.74987,0.56512,0.90925,0.71175,0.00415,0.0003664,0.0003664,0.0003664
98,8712.94,1.05431,0.58184,0.003,0.82962,0.70847,0.7511,0.5663,0.91015,0.72801,0.00413,0.0003598,0.0003598,0.0003598
99,8805.38,1.05075,0.58193,0.00297,0.80537,0.72002,0.74674,0.56369,0.91166,0.68783,0.00409,0.0003532,0.0003532,0.0003532
100,8899.8,1.04206,0.5718,0.00299,0.81657,0.71492,0.74639,0.56115,0.91159,0.71542,0.00422,0.0003466,0.0003466,0.0003466
101,8994.33,1.04177,0.57404,0.00298,0.8041,0.71193,0.75002,0.56121,0.90765,0.6787,0.004,0.00034,0.00034,0.00034
102,9085.31,1.04275,0.57773,0.00299,0.80859,0.72192,0.75271,0.56738,0.90621,0.70371,0.00409,0.0003334,0.0003334,0.0003334
103,9176.26,1.04388,0.57244,0.00296,0.81517,0.72483,0.74861,0.56425,0.91183,0.71437,0.00423,0.0003268,0.0003268,0.0003268
104,9268.62,1.04191,0.56994,0.00294,0.81455,0.72163,0.74857,0.56489,0.91256,0.69777,0.00422,0.0003202,0.0003202,0.0003202
105,9361.76,1.04076,0.57833,0.00293,0.81297,0.72988,0.75247,0.57079,0.91008,0.67902,0.00414,0.0003136,0.0003136,0.0003136
106,9454.45,1.03664,0.56754,0.0029,0.82732,0.72736,0.75942,0.57617,0.90926,0.68593,0.00416,0.000307,0.000307,0.000307
107,9545.72,1.04222,0.56862,0.0029,0.82831,0.71965,0.75919,0.57781,0.90787,0.68946,0.00419,0.0003004,0.0003004,0.0003004
108,9637.01,1.03637,0.56987,0.00291,0.83591,0.71223,0.75876,0.57727,0.90685,0.70021,0.00416,0.0002938,0.0002938,0.0002938
109,9730.26,1.03573,0.56636,0.0029,0.8378,0.70476,0.75793,0.57623,0.90802,0.69476,0.00416,0.0002872,0.0002872,0.0002872
110,9820.7,1.03327,0.56932,0.00294,0.81461,0.71248,0.75479,0.57062,0.90722,0.66807,0.00411,0.0002806,0.0002806,0.0002806
111,9910.57,1.02026,0.56091,0.00287,0.80703,0.72207,0.75483,0.57025,0.90616,0.66186,0.00409,0.000274,0.000274,0.000274
112,10000.4,1.03371,0.56851,0.00288,0.81243,0.71847,0.75509,0.5714,0.90467,0.68117,0.00412,0.0002674,0.0002674,0.0002674
113,10089.8,1.0254,0.56123,0.0029,0.82479,0.71387,0.75877,0.57384,0.90812,0.70003,0.00413,0.0002608,0.0002608,0.0002608
114,10179.1,1.02121,0.56008,0.00289,0.82411,0.71611,0.75689,0.57137,0.90717,0.69895,0.00412,0.0002542,0.0002542,0.0002542
115,10267.7,1.02849,0.56448,0.00286,0.80806,0.72485,0.75698,0.57204,0.90687,0.69433,0.00409,0.0002476,0.0002476,0.0002476
116,10357.5,1.02816,0.56659,0.00291,0.81332,0.72907,0.75876,0.57241,0.90727,0.6877,0.00412,0.000241,0.000241,0.000241
117,10446.7,1.02289,0.56186,0.00286,0.80987,0.72784,0.75868,0.57304,0.91074,0.70808,0.00424,0.0002344,0.0002344,0.0002344
118,10539.5,1.02132,0.55736,0.00284,0.8471,0.70044,0.75708,0.57326,0.90993,0.70408,0.00417,0.0002278,0.0002278,0.0002278
119,10631.7,1.02247,0.55526,0.00286,0.85228,0.70054,0.75542,0.57339,0.90833,0.69408,0.00414,0.0002212,0.0002212,0.0002212
120,10722.6,1.0271,0.56184,0.00283,0.83614,0.71109,0.75575,0.57416,0.91052,0.70088,0.0042,0.0002146,0.0002146,0.0002146
121,10810.9,1.0175,0.55456,0.00283,0.84308,0.71081,0.75566,0.57347,0.90865,0.70222,0.00417,0.000208,0.000208,0.000208
122,10900.6,1.01992,0.55757,0.0028,0.83178,0.71036,0.75632,0.57455,0.90721,0.69992,0.00415,0.0002014,0.0002014,0.0002014
123,10989.1,1.01342,0.55624,0.00282,0.82789,0.71278,0.75445,0.57259,0.90617,0.69371,0.0041,0.0001948,0.0001948,0.0001948
124,11078.1,1.01403,0.55362,0.00282,0.81837,0.7205,0.75485,0.57164,0.90344,0.68026,0.00401,0.0001882,0.0001882,0.0001882
125,11168,1.01066,0.55701,0.00278,0.82395,0.71954,0.75458,0.57137,0.90323,0.68658,0.00406,0.0001816,0.0001816,0.0001816
126,11258.5,1.00945,0.54352,0.00276,0.83002,0.71198,0.75605,0.57288,0.90289,0.68465,0.00408,0.000175,0.000175,0.000175
127,11348.8,1.01802,0.55491,0.00276,0.82804,0.7107,0.75634,0.57386,0.90334,0.67911,0.00406,0.0001684,0.0001684,0.0001684
128,11437.9,1.00942,0.55209,0.00277,0.81566,0.71473,0.75664,0.57492,0.90319,0.67196,0.00403,0.0001618,0.0001618,0.0001618
129,11527.8,1.00565,0.5507,0.00275,0.8066,0.72843,0.75554,0.57457,0.9023,0.67173,0.00403,0.0001552,0.0001552,0.0001552
130,11616.9,1.00321,0.54787,0.00274,0.80637,0.72774,0.75597,0.57404,0.90157,0.69735,0.00408,0.0001486,0.0001486,0.0001486
131,11707.4,1.00243,0.55519,0.00281,0.80439,0.7273,0.75548,0.57471,0.90359,0.70378,0.00416,0.000142,0.000142,0.000142
132,11797.5,1.00782,0.5479,0.00272,0.80855,0.7238,0.75609,0.57496,0.90217,0.70406,0.00416,0.0001354,0.0001354,0.0001354
