epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4595.12,1.68411,1.16333,0.00751,0.80903,0.53504,0.60729,0.37734,1.39609,1.0713,0.00781,6.20004e-05,6.20004e-05,6.20004e-05
40,4712.22,1.68151,1.15147,0.00744,0.809,0.53366,0.60927,0.37984,1.39426,1.07657,0.00788,6.10004e-05,6.10004e-05,6.10004e-05
41,4830.92,1.67565,1.15433,0.00741,0.81218,0.53496,0.6085,0.37626,1.387,1.05571,0.00757,6.00004e-05,6.00004e-05,6.00004e-05
42,4948.24,1.65494,1.13488,0.00734,0.81795,0.5353,0.60676,0.37544,1.38496,1.0701,0.00783,5.90004e-05,5.90004e-05,5.90004e-05
43,5065.99,1.65642,1.12937,0.00733,0.80783,0.53869,0.61502,0.38613,1.37246,1.04944,0.0074,5.80004e-05,5.80004e-05,5.80004e-05
44,5185.43,1.66302,1.12593,0.0071,0.81858,0.53551,0.61532,0.39027,1.37086,1.02402,0.00739,5.70004e-05,5.70004e-05,5.70004e-05
45,5303.42,1.65293,1.12012,0.00719,0.81471,0.53744,0.61937,0.3931,1.35914,1.02177,0.00719,5.60004e-05,5.60004e-05,5.60004e-05
46,5421.4,1.64355,1.10577,0.00709,0.81368,0.54098,0.61216,0.387,1.36914,1.03283,0.00753,5.50005e-05,5.50005e-05,5.50005e-05
47,5538.78,1.6401,1.10642,0.00705,0.8271,0.53709,0.6165,0.38925,1.35993,1.01103,0.00734,5.40005e-05,5.40005e-05,5.40005e-05
48,5656.44,1.63067,1.10028,0.00701,0.82373,0.53741,0.62212,0.39498,1.3589,1.02765,0.00749,5.30005e-05,5.30005e-05,5.30005e-05
49,5772.94,1.63005,1.09947,0.00698,0.83012,0.53683,0.62424,0.39717,1.35994,1.01752,0.00753,5.20005e-05,5.20005e-05,5.20005e-05
50,5889.4,1.62392,1.09225,0.00692,0.82451,0.5364,0.62463,0.39818,1.34636,1.00578,0.00725,5.10005e-05,5.10005e-05,5.10005e-05
51,6007.59,1.62597,1.08163,0.00682,0.82468,0.53551,0.62384,0.39401,1.34675,0.99873,0.00723,5.00005e-05,5.00005e-05,5.00005e-05
52,6125.79,1.62009,1.08287,0.00679,0.82649,0.53773,0.62782,0.4014,1.34962,0.99798,0.00742,4.90005e-05,4.90005e-05,4.90005e-05
53,6243.43,1.62259,1.08338,0.00688,0.82345,0.54339,0.62502,0.40119,1.34219,1.00269,0.00728,4.80005e-05,4.80005e-05,4.80005e-05
54,6362.21,1.61762,1.07786,0.0068,0.833,0.53566,0.6288,0.402,1.34128,0.98398,0.00727,4.70005e-05,4.70005e-05,4.70005e-05
55,6480.22,1.60393,1.06724,0.00677,0.82349,0.54474,0.62914,0.40387,1.33387,0.98968,0.00716,4.60005e-05,4.60005e-05,4.60005e-05
56,6597.61,1.60674,1.05356,0.0067,0.83897,0.53422,0.63086,0.40505,1.34546,0.98308,0.00733,4.50006e-05,4.50006e-05,4.50006e-05
