epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.906,3.26801,3.79467,0.02648,0.33769,0.10648,0.08221,0.03648,2.58585,3.01551,0.02006,0.000199437,0.000199437,0.000481127
2,187.209,2.64922,2.57887,0.01692,0.47656,0.25322,0.22035,0.09316,2.25824,2.2883,0.01658,0.000199201,0.000199201,0.000199201
3,271.674,2.40918,2.15751,0.01391,0.71363,0.29653,0.29079,0.1283,2.15737,1.96644,0.01667,0.000198402,0.000198402,0.000198402
4,357.575,2.27781,1.9271,0.01249,0.59425,0.3271,0.35827,0.16951,1.89855,1.71587,0.01109,0.000197602,0.000197602,0.000197602
5,442.323,2.17102,1.77192,0.0114,0.68461,0.39698,0.41859,0.19262,1.88811,1.54097,0.01165,0.000196803,0.000196803,0.000196803
6,526.72,2.10877,1.65571,0.01068,0.70309,0.41291,0.44646,0.21361,1.79462,1.53441,0.01079,0.000196004,0.000196004,0.000196004
7,611.683,2.03243,1.56059,0.01009,0.55517,0.46499,0.46422,0.23258,1.75811,1.41454,0.0102,0.000195205,0.000195205,0.000195205
8,696.379,1.99482,1.49712,0.00961,0.73732,0.44708,0.49371,0.25753,1.7344,1.34086,0.01059,0.000194406,0.000194406,0.000194406
9,780.525,1.9527,1.44799,0.00932,0.74936,0.47162,0.51229,0.26853,1.67064,1.3111,0.01003,0.000193606,0.000193606,0.000193606
10,864.747,1.91652,1.41027,0.00915,0.66095,0.47846,0.51414,0.27583,1.64637,1.28474,0.0095,0.000192807,0.000192807,0.000192807
11,949.449,1.89011,1.3633,0.00882,0.62655,0.49781,0.52656,0.28569,1.60246,1.25953,0.00902,0.000192008,0.000192008,0.000192008
12,1033.13,1.86001,1.32366,0.00845,0.67551,0.51303,0.53236,0.29129,1.61283,1.23338,0.00975,0.000191209,0.000191209,0.000191209
13,1117.6,1.82304,1.28368,0.00821,0.66312,0.51566,0.53448,0.294,1.56352,1.21175,0.00882,0.00019041,0.00019041,0.00019041
14,1202.03,1.80552,1.25957,0.00797,0.65423,0.51461,0.54615,0.31086,1.54211,1.17408,0.00892,0.00018961,0.00018961,0.00018961
15,1287.01,1.80227,1.24815,0.00794,0.73009,0.52501,0.56484,0.32453,1.52325,1.15127,0.00911,0.000188811,0.000188811,0.000188811
16,1371.9,1.76381,1.21475,0.00773,0.6057,0.52325,0.55766,0.3272,1.47993,1.11286,0.0081,0.000188012,0.000188012,0.000188012
17,1456.97,1.74913,1.19106,0.00751,0.7914,0.5121,0.5702,0.3235,1.51213,1.14317,0.00849,0.000187213,0.000187213,0.000187213
18,1541.57,1.73706,1.17458,0.00739,0.79071,0.5347,0.56982,0.33502,1.45601,1.09802,0.00811,0.000186414,0.000186414,0.000186414
19,1626.42,1.71794,1.15278,0.0072,0.78101,0.54015,0.57858,0.3351,1.49707,1.10313,0.00926,0.000185614,0.000185614,0.000185614
20,1711.32,1.71705,1.14889,0.00712,0.81023,0.5306,0.57913,0.34193,1.46769,1.08567,0.00839,0.000184815,0.000184815,0.000184815
21,1796.2,1.69516,1.13063,0.00711,0.80925,0.52508,0.58098,0.34388,1.44769,1.08693,0.00819,0.000184016,0.000184016,0.000184016
22,1881.28,1.68507,1.11785,0.00707,0.80411,0.53726,0.59025,0.34579,1.44338,1.09318,0.00861,0.000183217,0.000183217,0.000183217
23,1966.07,1.65694,1.09403,0.00676,0.80921,0.52925,0.59298,0.35476,1.40926,1.09575,0.00769,0.000182418,0.000182418,0.000182418
24,2050.95,1.65994,1.08908,0.00679,0.82376,0.53396,0.59698,0.36432,1.38032,1.03657,0.00745,0.000181618,0.000181618,0.000181618
25,2136.07,1.63842,1.05793,0.00666,0.84025,0.54289,0.60821,0.37016,1.3843,1.03409,0.00748,0.000180819,0.000180819,0.000180819
26,2221.29,1.63972,1.05969,0.00654,0.83107,0.53416,0.61502,0.36867,1.37474,1.07397,0.00745,0.00018002,0.00018002,0.00018002
27,2306.08,1.62226,1.04993,0.00663,0.69567,0.62039,0.63097,0.38673,1.36246,1.04649,0.0074,0.000179221,0.000179221,0.000179221
28,2389.97,1.61024,1.04008,0.00648,0.83225,0.55159,0.62916,0.37806,1.37324,1.03168,0.00781,0.000178422,0.000178422,0.000178422
29,2475.27,1.61437,1.0377,0.00644,0.75102,0.60146,0.63555,0.39148,1.36612,1.00969,0.00745,0.000177622,0.000177622,0.000177622
30,2559.66,1.59826,1.01549,0.00626,0.85199,0.55643,0.64772,0.39951,1.35366,0.99449,0.00744,0.000176823,0.000176823,0.000176823
31,2644.34,1.58262,1.00763,0.00629,0.68902,0.60438,0.63004,0.39535,1.33173,1.00015,0.00724,0.000176024,0.000176024,0.000176024
32,2729.94,1.58421,1.00635,0.00625,0.79864,0.58844,0.64909,0.39849,1.32664,1.00705,0.00727,0.000175225,0.000175225,0.000175225
33,2814.41,1.57029,0.99495,0.00621,0.76149,0.61216,0.65193,0.40047,1.33532,1.00282,0.00735,0.000174426,0.000174426,0.000174426
34,2898.74,1.57966,0.99047,0.00612,0.78976,0.60627,0.65559,0.41103,1.33056,0.97401,0.00718,0.000173626,0.000173626,0.000173626
35,2982.79,1.55437,0.97858,0.00609,0.75919,0.62601,0.65275,0.40266,1.33231,0.98014,0.00737,0.000172827,0.000172827,0.000172827
36,3067.17,1.56217,0.98105,0.00604,0.69546,0.63905,0.65143,0.40534,1.32782,0.99503,0.00736,0.000172028,0.000172028,0.000172028
37,3152.09,1.54929,0.9558,0.00594,0.78721,0.60166,0.65775,0.41458,1.2963,0.93797,0.00677,0.000171229,0.000171229,0.000171229
38,3236.86,1.54339,0.95737,0.0059,0.77088,0.61415,0.65712,0.411,1.29758,0.9515,0.00694,0.00017043,0.00017043,0.00017043
39,3320.8,1.53813,0.94198,0.00585,0.78624,0.62697,0.66342,0.41101,1.29499,0.96009,0.0068,0.00016963,0.00016963,0.00016963
40,3405.77,1.52133,0.93633,0.00585,0.75407,0.62089,0.65914,0.41247,1.29498,0.96659,0.00676,0.000168831,0.000168831,0.000168831
41,3490.74,1.52732,0.94116,0.00581,0.73136,0.63167,0.64912,0.40817,1.2817,0.95531,0.00674,0.000168032,0.000168032,0.000168032
42,3575.6,1.53217,0.94039,0.00572,0.6924,0.61815,0.6476,0.4135,1.28242,0.94189,0.00678,0.000167233,0.000167233,0.000167233
43,3660.36,1.52061,0.92991,0.00567,0.77317,0.62125,0.66953,0.42485,1.27607,0.92084,0.00672,0.000166434,0.000166434,0.000166434
44,3744.05,1.51174,0.92609,0.0058,0.72522,0.6262,0.64825,0.41359,1.27468,0.93128,0.00664,0.000165634,0.000165634,0.000165634
45,3828.66,1.51569,0.92802,0.00576,0.75719,0.62076,0.65764,0.41961,1.25915,0.90662,0.00655,0.000164835,0.000164835,0.000164835
46,3913.14,1.5007,0.91253,0.00566,0.74313,0.60252,0.65664,0.42229,1.27075,0.91792,0.00668,0.000164036,0.000164036,0.000164036
47,3997.86,1.50836,0.92987,0.00564,0.72626,0.60949,0.65659,0.41753,1.26657,0.91773,0.00646,0.000163237,0.000163237,0.000163237
48,4083.51,1.49459,0.90606,0.00558,0.70943,0.63942,0.65081,0.41554,1.25275,0.9282,0.00649,0.000162438,0.000162438,0.000162438
49,4167.76,1.48696,0.90546,0.00559,0.70889,0.64,0.66095,0.42255,1.24654,0.93221,0.00637,0.000161638,0.000161638,0.000161638
50,4252.66,1.49036,0.89763,0.00553,0.71755,0.64592,0.6614,0.42465,1.24591,0.91701,0.00655,0.000160839,0.000160839,0.000160839
